,noun,count
403,난,48
981,짐,48
1920,확실,48
1214,통행,48
1149,적극,48
2826,란,48
1310,낮,48
637,도보,48
2565,반,48
945,계산,48
284,오른쪽,48
1575,행정,48
88,파악,48
1408,회관,47
1272,강,47
607,로만,47
2410,반응,47
1600,나중,47
1451,건물,47
1867,대림,47
2896,조,47
1472,해지,47
2770,중복,47
286,당,47
764,도난,47
2831,블럭,47
3168,이틀,47
38,노력,46
1212,반대,46
642,불안,46
1104,그게,46
1030,주신,46
2006,등등,46
3738,조정,46
4726,관악구,46
546,효과,46
3472,미납,46
1484,횡단보도,46
1790,영등포,46
832,그때,46
4045,기억,46
1404,미터,46
638,전원,45
1930,방,45
1690,실수,45
843,마찬가지,45
2014,인적,45
2007,잠실,45
1315,지지도,45
4086,성북구,45
2399,과,45
3240,환,45
1401,그나,45
278,발,45
2530,실패,45
1160,관리자,45
2205,임시,44
2083,앞쪽,44
2961,끌,44
3827,마포구,44
1652,료,44
825,남자,44
1614,이기,44
1084,순간,44
1426,작,44
2312,다수,44
687,욕,43
2839,안해,43
1825,니,43
3610,목적,43
2148,방금,43
1824,목동,43
1811,극적,43
3574,관심,43
578,의미,43
3166,시급,43
1213,보행자,43
1436,동작구,43
3356,부과,43
1354,광장,43
2691,중심,43
3516,전산,43
1737,교회,43
214,터치,43
1829,사전,42
1942,해달,42
1368,판,42
1569,남부,42
4697,소요,42
1276,여전,42
2535,작성,42
45,미반,42
3543,이하,42
2079,고도,42
2218,위례,42
685,이따,42
1511,차이,42
2190,팝업,42
1437,체육,42
2781,수량,42
1989,지난번,42
1577,단순,42
875,출근길,42
928,야간,42
824,정적,42
274,가까이,42
441,간격,42
2393,보지,42
3009,대하,41
1430,타워,41
3407,요구,41
878,다른사람,41
1732,효율,41
781,최소한,41
275,발견,41
641,드릴,41
42,올해,41
651,우리,41
2266,접근,41
2483,죄송,41
3641,서버,40
79,잠,40
166,과정,40
3045,무조건,40
466,만료,40
2412,업그레이드,40
4843,헬멧,40
421,숭실대,40
655,굳이,40
593,배,40
2766,금일,40
62,닌지,40
68,래미안,40
3753,성인,40
809,여야,40
2239,시행,40
1743,중랑구,40
404,웹,40
595,여주,40
3626,지각,39
2238,육교,39
152,두번째,39
2118,차도,39
1871,반드시,39
2558,촌,39
1967,서초,39
1335,타운,39
3142,일일이,39
2036,주위,39
3974,단계,39
2719,친,39
1597,일부러,38
1902,후문,38
2372,주소,38
1907,일이,38
1627,움직,38
2873,보충,38
1279,손잡이,38
235,급,38
362,켜,38
1135,을지,38
140,문제점,38
859,니지,38
2609,추천,38
257,음으로,38
1148,환경,38
1545,횟수,38
482,분동,38
4189,확충,38
1296,만족,37
299,시점,37
1935,홍대,37
2840,네,37
1539,관계자,37
1512,차라리,37
2008,잠실역,37
802,홍보,37
419,가안,37
1042,야만,37
2116,어려움,37
414,서부,37
2698,분배,37
3962,사이트,37
1491,상가,37
1556,긍,37
604,라인,37
946,특정,37
4090,생활,37
639,내일,37
2631,재배,37
1370,약간,37
3016,달이,37
1742,이용도,37
1973,강남역,37
1611,대의,37
2759,번거,36
819,의문,36
3718,팀,36
696,하자,36
3308,제외,36
315,속,36
2677,노원,36
1849,서서,36
917,출발,36
1100,책,36
1640,남성,36
1711,수거,36
2674,서울역,36
2810,분만,36
4240,예산,36
3828,통,36
1860,회,36
577,확보,36
554,용이,36
3783,수서역,36
2033,지불,36
4093,던,36
1137,땐,35
2201,무하,35
2585,에러,35
407,잠시,35
3785,법조,35
520,유,35
506,궁금,35
241,지네,35
5458,마곡역,35
208,쓰레기,35
1195,난감,35
2478,그거,35
3312,정액,35
3418,기계,35
4083,지구,35
1052,막상,35
909,용량,35
1703,지면,35
4286,맵,35
1218,마곡,35
3681,사랑,35
2065,부담,35
7769,신대방역,35
864,경험,34
777,작업,34
2568,도하,34
645,물어,34
3854,지원,34
517,조차,34
6325,즐겨찾기,34
2140,인력,34
390,로서,34
1970,터미널,34
1346,월,34
1115,소액,34
2303,끈,34
1947,혜택,34
1231,어쩌,34
2540,시나,34
36,약속,34
2639,금방,34
2856,창동,34
5256,무리,34
1447,인원,34
1255,뉴타운,34
1647,일어,34
2252,전철역,34
4131,편이,33
2529,기전,33
2634,이야기,33
236,년,33
412,드,33
1934,부지,33
2098,원인,33
4114,복사,33
2579,우성,33
1604,자마자,33
2791,구축,33
1878,뭡,33
4823,지연,33
892,빼,33
2394,비교,33
4492,회기역,33
1505,십분,33
3842,존재,33
1099,대응,33
1588,상식,33
1672,노원역,33
2297,별도,33
2283,늦,33
2220,특성,33
1098,부디,33
3191,사유,32
3125,디지털,32
1710,나머지,32
1153,선물,32
1525,상관,32
1636,보완,32
2335,린,32
3527,경찰서,32
5920,자곡동,32
5104,부스,32
2122,고개,32
5938,선정,32
3602,테스트,32
2191,안양천,32
988,주입,32
900,리기,32
2492,주택,32
2242,심,32
2683,힐스테이트,32
1524,반적,32
634,잡,31
1060,개편,31
1805,고민,31
1048,취지,31
1717,구로구,31
1236,가게,31
778,고자,31
697,위로,31
3301,아시,31
6577,도림천,31
2403,접근성,31
516,문구,31
759,방면,31
615,만하,31
2082,려,31
