,tokenized,detoken
614,"['네이버', '로그인', '로그인', '유지', '안되', '매번', '로그인', '야함', '결제', '시스템', '불편', '함']",네이버 로그인 로그인 유지 안되 매번 로그인 야함 결제 시스템 불편 함
615,"['어플', '똑바로']",어플 똑바로
616,"['진짜', '너', '무열', '회원', '회원가입', '로그인', '안되', '래서', '회원', '회원가입', '다시', '고하', '회원가입', '회원', '아이디', '찾기', '아이디', '비밀번호', '찾기', '없는', '회원', '로그인', '안되', '구', '일', '시도', '안되', '비', '회원', '한번', '타', '전부', '휴대폰', '인증', '회원', '로그인', '그러고', '로그인', '안되', '사람', '미치게만', '드', '따릉이', '서울시', '정책', '어플', '식', '관리']",진짜 너 무열 회원 회원가입 로그인 안되 래서 회원 회원가입 다시 고하 회원가입 회원 아이디 찾기 아이디 비밀번호 찾기 없는 회원 로그인 안되 구 일 시도 안되 비 회원 한번 타 전부 휴대폰 인증 회원 로그인 그러고 로그인 안되 사람 미치게만 드 따릉이 서울시 정책 어플 식 관리
617,"['어플', '실행', '버전', '체크', '단계', '오류', '보관', '소', '몇', '대의', '따릉이', '있는지', '확', '인하', '직접', '가보', '허탕', '게', '반복']",어플 실행 버전 체크 단계 오류 보관 소 몇 대의 따릉이 있는지 확 인하 직접 가보 허탕 게 반복
618,"['자꾸', '로그인', '안되', '오류', '발생', '합']",자꾸 로그인 안되 오류 발생 합
619,"['최악', '쓰레기', '어플', '모버일', '인터넷', '더욱', '빠르고', '편', '리하', '어플', '실행', '안되', '페이지', '안나', '옴']",최악 쓰레기 어플 모버일 인터넷 더욱 빠르고 편 리하 어플 실행 안되 페이지 안나 옴
620,"['마포', '도서관', '언덕', '평지', '에다가']",마포 도서관 언덕 평지 에다가
621,"['대체', '인증번호', '라오', '건가', '회원', '회원가입', '비회', '원', '대여', '아무', '없음']",대체 인증번호 라오 건가 회원 회원가입 비회 원 대여 아무 없음
622,"['회원', '회원가입', '짜증', '게']",회원 회원가입 짜증 게
623,"['유용', '매우', '유용', '사용']",유용 매우 유용 사용
624,"['합정역', '출구', '자전거', '있는데', '대여', '가능', '게', '인', '가요', '또', '출구', '가능', '고장', '아예', '대여', '가능', '목록', '지도', '개판', '어플', '진짜']",합정역 출구 자전거 있는데 대여 가능 게 인 가요 또 출구 가능 고장 아예 대여 가능 목록 지도 개판 어플 진짜
625,"['서울시', '일이', '그렇지', '누가', '어떻게', '어플', '머리', '정상', '아닌듯', '적당', '일', '해', '사람', '편의', '위', '빡치게', '이럴', '바', '따릉이', '세금', '가지', '장난', '질']",서울시 일이 그렇지 누가 어떻게 어플 머리 정상 아닌듯 적당 일 해 사람 편의 위 빡치게 이럴 바 따릉이 세금 가지 장난 질
626,"['계속', '로딩', '중이', '뱅글', '뱅글', '돌기', '합', '짜증', '뒤로가기', '버튼', '어플', '종료', '안되']",계속 로딩 중이 뱅글 뱅글 돌기 합 짜증 뒤로가기 버튼 어플 종료 안되
627,"['로그인', '조차', '안되', '로딩', '표시', '무한', '반복', '경우', '주말', '사용', '포기', '정도', '제발', '보완']",로그인 조차 안되 로딩 표시 무한 반복 경우 주말 사용 포기 정도 제발 보완
628,"['어플', '실행', '오래', '오래', '느리고', '느리고', '또', '느림', '로딩', '화면', '계속', '뜸', '차라리', '모바일', '웹', '이용', '빠름']",어플 실행 오래 오래 느리고 느리고 또 느림 로딩 화면 계속 뜸 차라리 모바일 웹 이용 빠름
629,"['어플', '사용', '불편']",어플 사용 불편
630,"['아주', '좋아요']",아주 좋아요
631,"['대한민국', '공무원', '클라스', '대학생', '샘플', '어도', '어플']",대한민국 공무원 클라스 대학생 샘플 어도 어플
632,"['로딩', '길']",로딩 길
633,"['오류', '많아서', '사용', '불편']",오류 많아서 사용 불편
634,"['자꾸', '로그아웃']",자꾸 로그아웃
635,"['가왜', '렇', '많은거야']",가왜 렇 많은거야
636,"['진짜', '돌아이', '무슨', '어플', '실행', '팝업창', '땜', '한참', '실행', '이안', '고요', '어플', '진짜', '로만', '들엇']",진짜 돌아이 무슨 어플 실행 팝업창 땜 한참 실행 이안 고요 어플 진짜 로만 들엇
637,"['진짜', '알바', '퇴근', '버스', '없', '따릉이', '정기권', '어플', '너', '무하', '집도', '제때', '진짜']",진짜 알바 퇴근 버스 없 따릉이 정기권 어플 너 무하 집도 제때 진짜
638,"['따릉이', '보급', '좋겠네요']",따릉이 보급 좋겠네요
639,"['로그인', '유지', '안되', '어플', '킬때', '아이디', '비밀번호', '입력', '팝업', '반복', '뒤로가기', '기능', '불편']",로그인 유지 안되 어플 킬때 아이디 비밀번호 입력 팝업 반복 뒤로가기 기능 불편
640,"['시스템', '최악', '기획', '공무원', '조져야', '시스템', '업체', '조져', '야함', '단순', '시스템', '어렵게', '기획', '문제', '최악', '어진', '시스템', '오류', '말', '없고', '사용', '도', '불편', '느리고', '최악', '최악']",시스템 최악 기획 공무원 조져야 시스템 업체 조져 야함 단순 시스템 어렵게 기획 문제 최악 어진 시스템 오류 말 없고 사용 도 불편 느리고 최악 최악
641,['좋아요'],좋아요
642,"['매번', '접속', '로그인', '자동로그인', '체크', '있는', '건가', '느린데다', '데이터', '소모', '량', '많아서', '최악', '차라리', '어플', '교통카드', '신용카드', '이용', '있', '게라', '해']",매번 접속 로그인 자동로그인 체크 있는 건가 느린데다 데이터 소모 량 많아서 최악 차라리 어플 교통카드 신용카드 이용 있 게라 해
