content,complain
"바뀌고 나서 1주일넘은거 같은데 지도에 물방울이 전혀 표시되지않음. 장소를 찾을 수가 없음. 개발자와 릴리즈 담당자 테스트좀 제대로 
했으면 한다.","이번에 앱이 개선되고 대여소 검색이 빨라져서 정말 좋습니다.추가적으로 다음의 아이디어를 제안합니다.1. 앱 로그인 아이콘 확대 : 이전 앱은 로그인 아이콘이 컸습니다. 그래서 접속이 편리했는데, 업데이트 후 너무 작아져서 두번 세번을 누를 때가 있습니다.2. 물방울  : 이용자가 거치대별로 대여 가능 자전거 현황을 파악할 때, 색상 보다는 대여 가능한 자전거 대수가 표시되는 것이 더욱 직관적입니다.이상입니다."
아니 무슨 지금 한시간째 대여시도중이네요 예전도 이상했지만 이제는 앱이 쓰레기가 된듯...,"자전거번호 : SPB-17256빌린대여소 : 2018-06-28 08:30분쯤 508. 성수아카데미타워 앞반납대여소 : 2018-06-28 08:40분쯤 563. 성동세무서 건너편반납했는데 반납톡, 문자 안오네요.그리고 앱에서는 아직도 대여중이라고 나오구요.확인후 조치바랍니다."
자전거 빌리는데한 1시간 실화냐,"2018년  6월 6일  18시49분  따릉이 신용카드 결대 시스템 오류로 인해 이용권이 생성되지 않고 2000원만 결재되었습니다. 6월7일 유선으로 관련 문의를 드리고 오류 사항에 대한 확인을 받았습니다. 하지만 기 이후 20일이 지난 시점까지 환불처리가 안되고 있으며 관련해서 어떤 안내도 없습니다.  업체간 문제로 해결이 지연될수 있다하나, 아무런 추가안내 없이 고객의 돈을 부당하게 환불 조치를 안하고 있으며, 서울시와 업체간의 문제는 당사자간 해결할 부분이고, 기본적으로 부당하게 돈을 가져갔으면 바로 환불 하는게 상식 수준으로 해석됩니다. 금액의 크기 유무에 따라 행정처리가 아쉽습니다.  (카드 결재사항)박＊*님06/06 18:49일시불 2,000원페이게이트정기과금(6월7일 1599-0120 문자내역)[Web발신]안녕하세요 따릉이 안내센터입니다. 이용자님이 문의주신내용으로, 이용권이 생성되지 않아 사용을 못한 결제건을 확인 하였습니다. 업체간 문제로 해결이 지연될 수 있으나 정상적으로 접수해서 처리될 예정입니다. 미리 양해 구합니다. 이용에 불편을 드려 죄송합니다."
뭔 결과메시지는 뭐죠? 이거 빨리 고쳐주세요!,노원구 마들역 주변에 대여소가 하나도 없어요.노원역부터 마들역을 거쳐 상계 주공 14 ~16단지사이에 대여소가 전혀 없네요.빠른 설치 바랍니다.
제발 제대로좀 만들어주세요.. 업데이트 이후로는 다시 안빌려지네요.,대여소가 지도에 나오지 않습니다. 빠른 복구 부탁합니다.
업데이트하고 진짜 후져졌어요.... 불편해짐,"어디에서 대여해야 할 지 알수가 없어요지도가 먹통,개선이 아니라 개악,누군가 돈 빼돌린거 아닌가?이런걸 앱이라고 ㅋ"
이번에 업데이트하고 똥됬네,마들역 주변에 정류소가 하나도 없습니다. 구멍이 났어요. 마들역 주변 정류소 설치가 시급합니다.
"서울시는 앱제작 업체 선정을 어떤기준으로 한건지. 당췌 이딴걸 앱이라고 오류투성이, 참 세금이 아깝구나 ㅠ 무능한 공무원, 무능한 
앱개발자. 이거 감사가 필요해 보임.","앱을 어쩜 이따위로 다운그레이드했어요? 자동결제 추가과금결제 가끔씩 먹통되는것도 몇달전부터 계속되던건데. 안고칩니까? 운영하는거 하고는.. 이걸 쓰라는건지 말라는건지ㅡㅡ답없네요 진짜..일좀똑바로합시다. 앱메인에 지도로딩되는것도 좀 없애죠? 건의가 한두명이 아닌데, 앱구동이 이렇게 무거워서야.. 무제한요금제로 바꾸라는 무언의압박?"
아무리 시스템을 좋게 만들면 뭐하나요. 자전거를 탈수가 없게 만들어놨네. 실행이 안되요 실행이..,반납하고 재대여 하려는데 안됨자동결제수단 등록해놨는데도 안되고 신용카드 페이코 다먹통임아오 진짜 어쩜 앱도 이따위로 업데이트했는지
대여중 가까운 따릉이 정거장 찾으려고 앱켰는데 30분째 작동 안되네요.,송파2동 한양아파트2차 쪽에 거주 중인 시민입니다.송파구는 전반적으로 따릉이 대여소 설치가 잘 되어 있는 편이지만이 한양2차아파트 쪽은 대여소가 이상하게도 적습니다.한양3차아파트 쪽에 있긴 하지만이용량도 많고 거주자가 많은 영역에 비해 대여소 규모도 작고방이역 혹은 송파역 쪽은 거리가 멀어서 이용이 불편합니다.한양아파트2차 혹은 백제고분사거리 쪽에도 대여소가 생겼음 좋겠습니다.
빌릴수가 없게 만들어버렸네요 ㅋㅋ 어처구니가 없다. 보니까 리뷰들 전부다 참고도 안하는 것 같네요. 웃기다 웃겨.,"신대방역은 유동인구도 많고, 자전거 거치할 공간도 많으며, 보라매 공원 입구라 사용량이 무척 많을것 같은데, 주위에 없어서 아쉽네요"
"sns연동 로그인 계속 오류 뜬다고 나오네요. 앱도 버벅거리고 최악임. 따릉이 취지는 좋으나 어플에 신경써야 할 부분이 한두가지가 
아닌듯.",강남 차병원 앞 대여소 이용하고 싶은데 언제부터 가능할까요? 지금 자전거 비치는 돼 있던데
예전엔 편하고 빨랐는데 근처 따릉이 정류장이 전혀안뜸 최신폰에 데이터무제한인데 다른앱 다잘되는데 처음임. 개선빨리부탁,자전거 대여가 무료 서비스도 아닌데.. 앱을 어찌 이리 그지발싸개처럼 만들었나요.참고 쓰지만 진짜  짜증나네요. 발로 만들었나요?
"개같은 업데이트후 지도검색으로 빌리려는 생각은 꿈도 못꿉니다. 하여 검색으로 빌리려니 망할 지도로만 검색이되네요? QR인가 뭔가로 
빌리려니까 이놈은 인식도 잘안됩니다. 제발 서울의 자랑인 따릉이앱좀 롤백을 하던 문제점을 고치던 해주십쇼",역삼역에 대여소 1군데 뿐이고 그마져도 자전거가 거의 없습니다.역삼역에 대여소 설치를 고려해주시기 바랍니다# 추천장소 : 역삼역 1번출구 20m 전방 아세아시멘트 건물 앞감사합니다
이럴거면 업뎃왜하나요 전버젼이 훨씬ㅇ나음!,"강서구청사거리 요청도 많은것 같은데, 증설계획이 아직 없는건가요?꼭 사거리에 증설좀 부탁드려요"
업데이트하고 최악됨. QR코드 인식안되는 밤에는 뭐 어떻게 타라는건가요? 지도에서는 대여소클릭도안되고 대여방법설명도최악,카카오톡의 “서울자전거 따릉이 알림톡”내의 문의메뉴에 맞춤법 오류가 있네요.5번째 “대여가 안되요”는 ‘안되요’가 아니라 ‘안 돼요’가 맞습니다.그 외에도 문의를 누르면 나오는 답변에 띄어쓰기 오류가 엄청나게 많습니다....공공기관이 운영하는 페이지이고 많은 시민들이 보는 만큼 한글맞춤법도 신경써 주시면 감사하겠습니다.잘 이용하고 있습니다. 고맙습니다.
"새빛둥둥섬 앞에 묶어놓고 야시장 다녀오니까 통신장애만 계속 뜨고 잠금장치는 안 풀려서 그대로 두고 택시타고 집에 왔다.. 앱도 
로딩중입니다만 계속 돌아가고 접속도 안 되고 예전에 있던 고객센터 게시판은 어디에 있는지 찾을 수가 없다. 토요일이라서 고객선터 전화도 
안 되고 추가결제는 잘만 되고 있고 주말 내내 과금 될 듯",따릉이 어플이 깔끔해져서 보기 좋은거 같습니다     출퇴근시 여의도 이용량이 많은데 다른 장소는 정해진 숫자보다 자전거를 많이 거치하기도 하는거 같은데 여의도는 그렇지 않은거 같습니다 대여 숫자를 늘려주시면 좋을거 같습니다
"정말 좋은제도 입니다. 시민들이 편리하게 이용하는거 같아요. 근데 앱개발자들 뷰 웅신 개 뷰 웅신같은 애들 써서 오류 많이나고 
죄송하단말 밖에 안하는 상담자들.. 제도는 좋으나 그걸 시행 하는 그지 같은 애들이 문제지 .. 쯔쯧... 박시장님도 이걸 아셨으면 
좋겠네요",지도 안나옴 검색도 제대로 안됨 덕분에 대야소 찾아 걸어다님
이런 식으로 어플 만드실거면 그냥 접으세요 업데이트를 했으면 더 좋은 방향으로 개선이 되어야하는데 왜 점점 후퇴하나요,앱이 새로 바뀐 이후 지도상에서 대여소들이 전혀 표시가 안돼 대여할 수가 없습니다. 앱은 언제쯤돼야 제대로 쓸 수 있나요?ㅠ
